nombre,calle,direccion_completa,ciudad,localidad,codigo_postal,tipos,telefono,pagina_web,horarios
Casa de la Memoria Centro Cultural Flamenco,"Calle Cuna, 6","C. Cuna, 6, Casco Antiguo, 41004 Sevilla, España",Sevilla,Casco Antiguo,41004,"museum, point_of_interest, establishment",+34 954 56 06 70,https://www.casadelamemoria.es/,lunes: Cerrado; martes: 11:00–14:30; miércoles: 11:00–14:30; jueves: 11:00–14:30; viernes: 11:00–14:30; sábado: 11:00–14:30; domingo: 11:30–14:30
Casa de Pilatos,"Plaza de Pilatos, 1","Pl. de Pilatos, 1, Casco Antiguo, 41003 Sevilla, España",Sevilla,Casco Antiguo,41003,"tourist_attraction, museum, point_of_interest, establishment",+34 954 22 52 98,http://www.fundacionmedinaceli.org/,lunes: 9:00–18:00; martes: 9:00–18:00; miércoles: 9:00–18:00; jueves: 9:00–18:00; viernes: 9:00–18:00; sábado: 9:00–18:00; domingo: 9:00–18:00
Museo Música Africana,"Calle Automoción, 16","C. Automoción, 16, Norte, 41007 Sevilla, España",Sevilla,Norte,41007,"museum, point_of_interest, establishment",+34 690 61 94 55,https://promocionafricana.com/,N/A
Museo Histórico Militar de Sevilla,"Plaza España, s/n","Pl. España, s/n, 41013 Sevilla, España",Sevilla,N/A,41013,"tourist_attraction, museum, point_of_interest, establishment",+34 954 93 82 83,https://ejercito.defensa.gob.es/unidades/Madrid/ihycm/Museos/sevilla.html,lunes: Cerrado; martes: 9:30–13:30; miércoles: 9:30–13:30; jueves: 9:30–13:30; viernes: 9:30–13:30; sábado: 10:00–13:30; domingo: 10:00–13:30
CaixaForum Sevilla,"Calle López Pintado, s/n","C. López Pintado, s/n, 41092 Sevilla, España",Sevilla,N/A,41092,"tourist_attraction, museum, point_of_interest, establishment",+34 955 65 76 11,https://caixaforum.es/es/sevilla/home,lunes: 11:00–22:00; martes: 11:00–22:00; miércoles: 11:00–22:00; jueves: 11:00–22:00; viernes: 11:00–22:00; sábado: 11:00–22:00; domingo: 11:00–22:00
Palacio Marqueses de la Algaba,"Plaza Calderón de la Barca, s/n","Pl. Calderón de la Barca, s/n, Casco Antiguo, 41003 Sevilla, España",Sevilla,Casco Antiguo,41003,"tourist_attraction, museum, local_government_office, point_of_interest, establishment",+34 955 47 25 25,https://www.sevilla.org/centros-civicos/palacio-marqueses-de-la-algaba,"lunes: 10:00–13:45, 17:00–19:45; martes: 10:00–13:45, 17:00–19:45; miércoles: 10:00–13:45, 17:00–19:45; jueves: 10:00–13:45, 17:00–19:45; viernes: 10:00–13:45, 17:00–19:45; sábado: 10:00–13:45; domingo: Cerrado"
Archivo General de Indias (América),"Avenida de la Constitución, s/n","Av. de la Constitución, s/n, Casco Antiguo, 41004 Sevilla, España",Sevilla,Casco Antiguo,41004,"museum, tourist_attraction, point_of_interest, establishment",+34 954 50 05 28,https://www.cultura.gob.es/cultura/areas/archivos/mc/archivos/agi/presentacion.html,lunes: Cerrado; martes: 9:30–16:30; miércoles: 9:30–16:30; jueves: 9:30–16:30; viernes: 9:30–16:30; sábado: 9:30–16:30; domingo: 10:30–13:30
Casa de la Ciencia,"Avenida de María Luisa, s/n","Av. de María Luisa, s/n, Casco Antiguo, 41013 Sevilla, España",Sevilla,Casco Antiguo,41013,"tourist_attraction, museum, point_of_interest, establishment",+34 954 23 23 49,http://www.casadelaciencia.csic.es/,lunes: Cerrado; martes: 10:00–14:30; miércoles: 10:00–14:30; jueves: 10:00–14:30; viernes: 10:00–14:30; sábado: Cerrado; domingo: Cerrado
Museo de Bellas Artes de Sevilla,"Plaza del Museo, 9","Pl. del Museo, 9, Casco Antiguo, 41001 Sevilla, España",Sevilla,Casco Antiguo,41001,"tourist_attraction, museum, point_of_interest, establishment",+34 954 78 64 98,https://www.museosdeandalucia.es/web/museodebellasartesdesevilla,lunes: Cerrado; martes: 9:00–21:00; miércoles: 9:00–21:00; jueves: 9:00–21:00; viernes: 9:00–21:00; sábado: 9:00–21:00; domingo: 9:00–15:00
Casa Fabiola - Colección de Arte Mariano Bellver,"Calle Fabiola, 5","C. Fabiola, 5, Casco Antiguo, 41004 Sevilla, España",Sevilla,Casco Antiguo,41004,"museum, point_of_interest, establishment",+34 955 47 02 95,https://www.sevilla.org/ciudad-de-sevilla/patrimonio-monumental-y-cultural/casa-fabiola-donacion-de-arte-mariano-bellver,lunes: Cerrado; martes: 11:00–19:00; miércoles: 11:00–19:00; jueves: 11:00–19:00; viernes: 11:00–19:00; sábado: 11:00–19:00; domingo: 11:00–19:00
